特許権者,特許番号,技術担当者,知財担当者,発明の内容,侵害可能性,侵害企業・製品候補,無効可能性,収益見込み,関連情報,進捗・メモ,特許公報リンク,重複チェック,特許番号(番号のみ)
NTT,特許07666636,布施,草野,球技の挙動評価,〇※,ProPlayAI（PitchAI、カナダ3MotionAI社）,,D,https://chatgpt.com/share/6888b4c6-0cf0-8006-9184-df70dcf05384,※侵害額が小さいので保留,,1,7666636
NTT,特許07492160,布施,草野,,,,,,,,,1,7492160
NTT,特許07396460,布施,草野,,,,,,,,,1,7396460
NTT,特許07396359,布施,草野,支援者選定,×,,,,,,,1,7396359
NTT,特許07248928,布施、高橋,草野,冷蔵庫レシピ,〇,,,,,,,1,7248928
NTT,特許07168093,布施,草野,３次元点群データ,〇,,,,,,,1,7168093
NTT,特許07090250,布施,草野,マンホールリスク,〇※,,,,,※共願のためNG,,1,7090250
NTT,特許06974732,布施,草野,影響因子混在範囲分析,×,,,,,,,1,6974732
オプティム,特許06267841,布施,奥野,ウェアラブル端末,〇,中国農業大学　研究開発段階,,E,https://chatgpt.com/share/689694c5-ad04-800b-bc9a-3c6223cfee4c,,,1,6267841
オプティム,特許06195960,布施,奥野,遠隔指示システム,〇,"①TeamViewer Assist AR（TeamViewer社）約1億円前後
②Vuforia Chalk（PTC社）約0.8〜1.2億円
③Microsoft Dynamics 365 Remote Assist / Teamsの空間注釈（Microsoft社）約10〜15億円
④Zoho Lens（Zoho Corporation社）約0.3〜0.5億円
⑤AirDroid Remote Support（Sand Studio社）約0.7〜1.0億円
⑥SightCall（米国）約1.5〜2.0億円
⑦TechSee（イスラエル）約1.5〜2.5億円
⑧VSight（リトアニア）約0.2〜0.3億円
",,A,https://chatgpt.com/share/6896950a-8420-800b-8ad7-1b347a45d004,要検討,,1,6195960
オプティム,特許06169748,布施,奥野,ネットのセキュリティシステム,✕,,,,https://chatgpt.com/share/6896960e-a978-800b-bb1a-607bbd4ff605,「所定の質問項目に対する回答」の該当性が問題（親出願意見書）。年齢によるフィルタリングのみではない,,1,6169748
オプティム,特許06145230,布施,奥野,遠隔診察システム,✕,,,,https://chatgpt.com/share/689696e4-960c-800b-b9b5-e78402e23c09,「医師の時給を変動させる」なし,,1,6145230
オプティム,特許06134302,布施,奥野,電化製品と通信可能な管理サーバ,✕,,,,https://chatgpt.com/share/689696e4-960c-800b-b9b5-e78402e23c09,「所定の電化製品から電話番号を特定する」なし,,1,6134302
オプティム,特許06105181,布施,奥野,殺虫器バランス調整システム,✕,,,,https://chatgpt.com/share/6896a3e2-2f38-800b-bdd1-518f586a918a,,,1,6105181
オプティム,特許06077068,布施,奥野,拡張現実システム,✕,,,,https://chatgpt.com/share/6896b6a6-fb10-800b-a772-b2d0c1226c1b,多くのASAアプリは位置は指定できても「方向」まで明示的に指定するUIがない,,1,6077068
オプティム,特許05997824,布施,奥野,遠隔端末,〇,"①Microsoft（Dynamics 365 Remote Assist / HoloLens）約100億円
②PTC（Vuforia Chalk）約1億円
③TeamViewer（Assist AR〈旧Pilot〉）約1億円
④Onsight　約0.5億円",,A,https://chatgpt.com/share/68981f17-aaac-800b-be04-3dcc6d3563a5,,,1,5997824
オプティム,特許05853003,布施,奥野,画面共有端末,△,TeamViewer（ドイツ）114.0,,A,https://chatgpt.com/share/689833a3-b73c-800b-ab3c-629ebd170086,「前記変化を検出した領域が、所定の範囲より大きい場合には、前記送信を中止する」要検討,,1,5853003
オプティム,特許05815650,布施,奥野,画面共有端末,〇,"①Parallels Access（Parallels社）約0.3億円
②Parallels Secure Workspace　0.1億円未満",,D,https://chatgpt.com/share/68984312-afa0-800b-848f-0fcd3eaf2d35,,,1,5815650
オプティム,特許05770782,布施,奥野,オペレータ端末,〇,Citrix Virtual Apps and Desktops 1200億円,,A,https://chatgpt.com/share/689a848f-d094-800b-a156-90ac753de6f0,"Google（Android端末のDuoプレビュー通話機能）約18,000億円",,1,5770782
オプティム,特許05687149,布施,奥野,アプリをDLするモジュールを備える通話端末,〇,"Google（Android端末のDuoプレビュー通話機能）約18,000億円",,A,https://chatgpt.com/share/689a9f4a-9454-800b-b1d0-3690eb21eab2,,,1,5687149
オプティム,特許05653301,布施,奥野,リモートシステム,〇,"①TeamViewer (Remote　)約180億円
②TeamViewer Tensor　約15億円",,A,https://chatgpt.com/share/689ab2a4-fedc-800b-898b-84b2cf96f488,,,1,5653301
オプティム,特許05398392,布施,奥野,空調機器制御装置,〇,"①tado° Smart AC Control (tado GmbH, ドイツ)0.4億円
②Ambi Climate (Ambi Labs, 香港)0.2億円
③Cielo Breez シリーズ (Cielo WiGle Inc., アメリカ)0.03億円",,D,https://chatgpt.com/share/689ac4c7-c79c-800b-a8c9-088529da1b7e,,,1,5398392
オプティム,特許05378970,布施,奥野,販売価格決定装置,〇,"Spot by NetApp　約5.0億円
",,B,https://chatgpt.com/share/689d41ab-9e34-800b-957c-e2c6d935a932,,,1,5378970
オプティム,特許05148670,布施,奥野,固有アドレスにより電化製品の設定を行う設定方法,〇,"①Amazon Alexa 約300億円
②Philips Hue　約500億円
③SwitchBotシリーズ　約200億円",,A,https://chatgpt.com/share/689e8daf-d510-800b-bf56-06b5962421a2,,,1,5148670
オプティム,特許05010653,布施,奥野,電源制御装置,〇,Amazon Echoシリーズ約800億円,,A,https://chatgpt.com/share/689e953f-a45c-800b-9870-b66f19697f3c,,,1,5010653
オプティム,特許04895405,布施,奥野,レピュテーションに基づいたセキュリティ管理,〇,"①Cisco　約35000億円
②Palo Alto Networks　約1000億円
③Check Point Software　約800億円
④Forescout　約150億円
⑤Huawei　約2500億円",,A,https://chatgpt.com/share/689ebbc9-2da8-800b-8823-2ce9eb637696,,,1,4895405
IBM,特許05852399,柿崎,草野,アプリケーション間コミュニケーション,〇,"Red Hat Enterprise Linux(2,200億)
SUSE Linux Enterprise Server(150～200億)
Ubuntu（Canonical社）(30～50億円)",,A,,,,1,5852399
IBM,特許05802041,柿崎,草野,,,,,,,年金不納,,1,5802041
IBM,特許05783630,柿崎,草野,デジタル署名,〇,"DocuSign（1,500億円）
Galaxyシリーズ（14,800億円）
Huawei（約1,860億円）
APPLE（）",,A,,,,1,5783630
IBM,特許05754704,柿崎,草野,システム監視,〇,,,D,,売上小,,1,5754704
IBM,特許05731223,柿崎,草野,,,,,,,,,1,5731223
IBM,特許05710325,柿崎,草野,マルコフ決定,〇,"Stem社 - Athenaプラットフォーム：約6億円  
Moixa社 - GridShare：約5億円  
Nuvve社 - GIVeプラットフォーム：約2億円  
Huawei社 - AI搭載家庭用エネルギー貯蔵システム：約200億円  
AutoGrid Systems社 - Flexバーチャル発電所プラットフォーム：約20億円  
ToolsGroup社 - 在庫最適化ソフトウェア：約3億円",,B,,,,1,5710325
IBM,特許05689333,柿崎,草野,ネットワーク異常検知,〇,,,C,"侵害判断・売上推定
https://chatgpt.com/share/689178e8-d1d4-8010-b0b0-ccd476a336b6",,,1,5689333
IBM,特許05669851,柿崎,草野,バイパスプロトコル,〇,,,D,"侵害判断・売上推定
https://chatgpt.com/share/689177e5-51a4-8010-b681-f6ccdebb68ef",売上小,,1,5669851
IBM,特許05570008,柿崎,草野,ラプラシアン,〇※,,,E,"侵害判定
https://chatgpt.com/share/68919ec8-6b18-8010-bda8-48d5dead173a",CIscoがLOT加入企業,,1,5570008
IBM,特許05295355,柿崎,草野,,〇,Apple330億円,,B,,,,1,5295355
IBM,特許06351723,柿崎,岩瀬,,,,,,,権利移転,,1,6351723
IBM,特許06250054,柿崎,岩瀬,ニューロン属性メモリ,〇,"Intel Loihi 2（Intel Corporation）0.1億円未満
BrainChip Akida（BrainChip Holdings社）0.1億円未満
GrAI One / GrAI VIP（GrAI Matter Labs社）0億円
SynSense Dynap-CNN（SynSense社）0億円",,D,https://chatgpt.com/share/68b0278d-0678-8010-8dcb-94b81a9843c3,BrainChipの日本における売上は日本企業(Megachips)からのライセンス収入と考えられるため、外国企業と言えるかは疑問,,1,6250054
IBM,特許06075581,柿崎,岩瀬,経路生成方法,〇,Esri（米）｜ArcGIS Indoors　約0.90億円,,D,https://chatgpt.com/share/68b027a2-0798-8010-b9c1-9effa69cb1e4,,,1,6075581
IBM,特許06004451,柿崎,岩瀬,データセンターにおける省電力制御,△,Lancium社の「Clean Campus」データセンター 0,,E,https://chatgpt.com/share/68b06e9d-8a18-8010-ae45-2434388a9b9b,テンセントクラウドなどは今後実施する可能性はあるものの、現時点では実施が確認できない。,,1,6004451
ミツトヨ,特許07565179,滝波,幸谷,スケール,〇,"Renishaw社（英国）ASTRiA™ 絶対誘導式ロータリエンコーダ　0.5億円
Celera Motion社（旧Zettlex、米国）IncOder™ 絶対誘導式角度エンコーダ  5億円",,C,,,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-153548/10/ja,1,7565179
ミツトヨ,特許07344625,滝波,幸谷,,✕,,,,,,,1,7344625
ミツトヨ,特許07337637,滝波,幸谷,,✕,,,,,,,1,7337637
ミツトヨ,特許07232054,滝波,幸谷,,〇,"Starrett AVRシリーズ（米国 Starrett社 製品）　0.6億円
Vision Engineering社 LVCシリーズ（英国製品）　0.5億円",,E,,数千万円程度,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-002410/10/ja,1,7232054
ミツトヨ,特許07196033,滝波,幸谷,スケール,✕,,,,,,,1,7196033
ミツトヨ,特許07140495,滝波,幸谷,,△,,,,,,,1,7140495
ミツトヨ,特許07078403,滝波,幸谷,,〇,"Vision Engineering社（英国）「Falcon」画像測定システム　1.5億円　
Starrett社（米国）「AVRシリーズ」画像測定システム （MetLogix M3ソフト搭載）　1億円
カール・ツァイス社（独）「Smartzoom 5」デジタル顕微鏡（画像測定機能付き） 　1.8億円",,C,,,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-003148/10/ja,1,7078403
ミツトヨ,特許06964452,滝波,幸谷,,〇,"IBM Maximo（IBM社） 測定機管理システム　80～100億円
SAP Predictive Maintenance（SAP社）　5億円
Siemens MindSphere（シーメンス社） IoTプラットフォーム　5億円",,C,,,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-137210/10/ja,1,6964452
ミツトヨ,特許06956611,滝波,幸谷,ワーク,〇,英国Renishaw社製の比較ゲージ「Equator」　8億円,,C,,,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-230205/10/ja,1,6956611
ミツトヨ,特許06746376,滝波,草野,ミツトヨフィルター切替,〇,"Hach社 DR/700 ポータブルカラーメータ　0円程度（実質ゼロ）
Mettler Toledo社 UV/VIS Excellence分光光度計（CertiRef™/LinSet™モジュール）　約8000万円
Molecular Devices社 SpectraMax® iD5 マルチモードリーダー　約4億円
Tecan社 Infinite® 200 PRO マイクロプレートリーダー　約10億円",,D,,売上小,,1,6746376
ミツトヨ,特許06650860,滝波,草野,ミツトヨ同一面端子,×,,,,,,,1,6650860
ミツトヨ,特許06427332,滝波,草野,ミツトヨXY軸パターンマッチ,〇,"OGP社「Fusion 400」（QVI傘下）　約数千万円～1億円未満
Micro-Vu社「Excel」シリーズ　約1～2億円規模
Starrett社「AV450」シリーズ　数千万円程度
カールツァイス社「O-Detect／O-Select」シリーズ　約1億円前後
Hexagon社「Optiv」シリーズ（ビデオ測定機）　1～2億円規模
Nikon Metrology「NEXIV」自動画像計測システム　数億円規模（推定3～5億円前後）
キーエンス「IM」シリーズ（画像寸法測定器）　数十億円規模（推定20～30億円程度）
Vision Engineering社「LVC」シリーズ（CNC画像測定機）　1億円未満
Carmar社「One-Click Large Image」測定機　数千万円以下（ほぼゼロに近い）
Scienscope社「XT」シリーズ他ビデオ測定システム　ほぼゼロ（～数百万円程度）",,C,,売上小,,1,6427332
ミツトヨ,特許06425875,滝波,草野,ミツトヨ反射膜スケール,〇,"Renishaw社 RGSZ20 ゴールドテープスケール　約2.75億円
Heidenhain社 AURODUR テープスケール　約1.80億円
Fagor Automation ステンレステープスケール　約0.25億円
Givi Misure GVS 202S/GVS 206S　約0.10億円
RSF Elektronik MSシリーズ　約0.18億円
Celera Motion PurePrecision　約0.10億円",,E,,売上小,,1,6425875
ミツトヨ,特許06415117,滝波,草野,ミツトヨ赤外線可視一体,〇,"Fluke社「Ti」シリーズ（Fluke）：約40億円
Teledyne FLIR社「E8」（Teledyne FLIR）：約18億円
Testo社「testo 883」（Testo）：約5〜6億円
Bosch社「GTC 400 C」（Bosch）：約4億円
HIKMICRO社「B20」（HIKMICRO）：約1.4億円",,C,,売上中,,1,6415117
ミツトヨ,特許06109536,滝波,草野,最小値最大値表示,×,,,,,,,1,6109536
ミツトヨ,特許06084364,滝波,草野,移動量換算,〇,"Mahr Digimar 817 CLT（Mahr） 約1.0億円
TESA Micro-Hite +M（TESA） 約0.8億円
Starrett W4900-1（Starrett） 約0.1億円未満
Trimos V7（Trimos） 約1.0億円
Sylvac D300S（Sylvac） 約0.1億円
FARO Edge（FARO） 約1200億円
Baty R14-FT2-E（Baty） 約0.2億円以下
ZEISS O-SELECT（ZEISS） 約0.5億円",,A,,,,1,6084364
ミツトヨ,特許05970295,滝波,草野,スマホ,〇,"Samsung Galaxy S9/S9+（サムスン電子ジャパン） 約70～80万台 約700～800億円
Google Pixel 6 Pro（グーグル合同会社） 約10万台 約100～120億円
HUAWEI P30 Pro（華為技術日本株式会社） 約1～2万台 約10～20億円
Xiaomi Mi 11（小米技術日本株式会社） 0台（未発売） 0円
OPPO Find X3 Pro（オウガ・ジャパン株式会社） 約1万台 約10～15億円
OnePlus 9 Pro（OnePlus Japan） 0台（未発売） 0円
Motorola Edge（モトローラ・モビリティ・ジャパン合同会社） 0台（未発売） 0円",,A,,,,1,5970295
ミツトヨ,特許05639836,滝波,草野,,〇,,,E,,売上小,,1,5639836
ミツトヨ,特許05601910,滝波,草野,,〇,,,E,,,,1,5601910
ミツトヨ,特許05508793,滝波,草野,移設検出装置,×,,,,,,,1,5508793
ミツトヨ,特許05466030,滝波,草野,硬さ試験,〇,"Anton Paar ナノインデンテーション試験装置（Anton Paar社） — 累計売上：約 11.4 億円
FISCHERSCOPE HM2000（Helmut Fischer社） — 累計売上：約 4.2 億円",,,,売上中,,1,5466030
ミツトヨ,特許05457659,滝波,草野,,,,,,,,,1,5457659
ミツトヨ,特許05432739,滝波,草野,,,,,,,,,1,5432739
ミツトヨ,特許05308059,滝波,草野,ＤＬＣ層,×,,,,,,,1,5308059
ミツトヨ,特許05303392,滝波,草野,変位計測定,〇,"Verifireシリーズ｜Zygo社（米国）｜累計売上 約12億円
NewView / Nexviewシリーズ｜Zygo社（米国）｜累計売上 約18億円
Compassシリーズ｜Zygo社（米国）｜累計売上 約2億円
Qualifireシリーズ｜Zygo社（米国）｜累計売上 約1億円未満",,,,売上中,,1,5303392
ミツトヨ,特許05234987,滝波,草野,リング照明装置,×,,,,,,,1,5234987
ミツトヨ,特許05208808,滝波,草野,,,,,,,,,1,5208808
ミツトヨ,特許05139176,滝波,草野,,,,,,,年金不納,,1,5139176
ミツトヨ,特許05128187,滝波,草野,,,,,,,年金不納,,1,5128187
ミツトヨ,特許05038691,滝波,草野,,,,,,,,,1,5038691
ミツトヨ,特許05027611,滝波,草野,被加工物を微細加工,×,,,,,,,1,5027611
ミツトヨ,特許04833662,滝波,草野,,,,,,,,,1,4833662
ミツトヨ,特許04819599,滝波,草野,干渉測長機,〇,"XL-80 レーザー干渉計システム（Renishaw社）：16億円
5530 レーザーキャリブレーションシステム（Keysight社）：3億円
SP 15000 C6 NG 校正用レーザー干渉計（SIOS社）：0億円（発売直後・未導入）
XM-60 マルチ軸キャリブレータ（Renishaw社）：4億円
Absolute Tracker（レーザートラッカー）シリーズ（Leica／Hexagon社）：18億円
XD Laser 多軸干渉計システム（API社）：1億円
Laser Tracker シリーズ（FARO社）：15億円",,,,売上中,,1,4819599
ミツトヨ,特許04417986,滝波,草野,表面性状,×,,,,,,,1,4417986
IBM,特許06415556,柿崎,岩瀬,データ受信リンク内,〇,Samsung社の仮想化RAN(vRAN)ソリューション 約42億円,,C,https://chatgpt.com/share/68b00c03-93d0-8010-8dbb-93cbd740485b,,,1,6415556
IBM,特許06407298,柿崎,岩瀬,条件付きトランザクション終了命令,×,,,,,,,1,6407298
IBM,特許06324157,柿崎,岩瀬,移動経路の最適化,〇,"Baidu Apollo（自動運転プラットフォーム「Apollo」および自動運転バス「アポロン」）3億円
DJIドローンの自律飛行・障害物回避機能　2580億円",,A,https://chatgpt.com/share/68ac0b19-4870-8010-b127-fdcd4594a724,,,1,6324157
IBM,特許06222977,柿崎,岩瀬,,,,,,,年金不納による特許権の消滅,,1,6222977
IBM,特許06218815,柿崎,岩瀬,トランザクション実行に関連付けられた処理を実行する方法,×,,,,https://chatgpt.com/share/68b06897-69d0-8010-af83-295968298a38,,,1,6218815
IBM,特許06183811,柿崎,岩瀬,接合構造体および無線通信装置,〇,"Qualcomm社 QTM052 5Gミリ波アンテナモジュール (スマートフォン向け)
Apple社（USI/Murata製）5Gミリ波アンテナモジュール (iPhone 12/13搭載AiP)",,E,https://chatgpt.com/share/68ac0aaa-e55c-8010-9d95-353f3be1a1b4,,,1,6183811
IBM,特許06176622,柿崎,岩瀬,マルウェアの検出方法,〇,"Kaspersky Endpoint Security（AEP搭載版）100億円
カスペルスキー セキュリティ（個人向け製品）200億円",,B,https://chatgpt.com/share/68a6d7ec-91e4-800b-a1b1-1ea5af9fd1a8,,,1,6176622
IBM,特許06150244,柿崎,岩瀬,送信装置、受信装置、回路装置、通信方法,×,,,,https://chatgpt.com/share/68ad95ce-7844-8010-b7b8-b8fff5988ef1,,,1,6150244
IBM,特許06143306,柿崎,岩瀬,オペランド・ストア比較ハザードの予測,〇,"Intel Core i7-8700K（Intel）約40億円
Ryzen 7 1800X（AMD）約5～10億円程度
Apple A11 Bionic（Apple）　約8,000億円
Snapdragon 845（Qualcomm）約380億円",,A,https://chatgpt.com/share/68b0b351-af64-8010-9e81-459051082254,,,1,6143306
IBM,特許06138249,柿崎,岩瀬,トランザクション診断ブロック,×,,,,https://chatgpt.com/share/68b09fc5-d278-8010-b9da-db14d57ce42e,,,1,6138249
IBM,特許06128526,柿崎,岩瀬,仮想計算機のクラスタを操作するための方法,×,,,,https://chatgpt.com/share/68b30480-282c-8010-b7ea-634e3a105047,,,1,6128526
IBM,特許06103540,柿崎,岩瀬,生成装置,〇,Apple Siri 1550億円,,S,https://chatgpt.com/share/68b275da-4edc-8010-b4c7-8aedc6adc624,"1550億円/2%(Siri寄与率)×0.2%(実施料率推定中央値)
=155億円",,1,6103540
IBM,特許06095018,柿崎,岩瀬,移動オブジェクトの検出及び追跡,×,,,,https://chatgpt.com/share/68b30d6a-dbb0-8010-a540-43ce598b933e,,,1,6095018
IBM,特許06066101,柿崎,岩瀬,構造化文書に基づいて動画を動的に作成する方法,×,,,,https://chatgpt.com/share/68ae8564-cc5c-8010-83d4-fb1899dcc67a,,,1,6066101
IBM,特許06021741,柿崎,岩瀬,時空間データベースの処理方法,〇,"OneTick（OneMarketData社）約1億円
TIBCO StreamBase（現称：TIBCO Streaming）約2億円",,D,https://chatgpt.com/share/68af4b64-d464-8010-9f8c-d06f006e8c3a,,,1,6021741
IBM,特許05988450,柿崎,岩瀬,ノードを表示する方法,〇,"TheBrain (米TheBrain Technologies社)　0.8億円
DS Imaging社製
Polarsens搭載偏光カメラ（日本法人：アイ・ディー・エス㈱）約0.2億円",,D,https://chatgpt.com/share/68b279b7-f748-8010-810f-cbccf48c3984,侵害確認は容易そう,,1,5988450
IBM,特許05963314,柿崎,岩瀬,テープ媒体上での総シーク時間を減らすための方法,〇,"テレダイン社（Teledyne FLIR/DALSA）製
偏光イメージングカメラ 約0.8億円",,D,https://chatgpt.com/share/68a6dd2c-ac88-800b-a340-468bccc44777,権利範囲は狭そう,,1,5963314
IBM,特許05959073,柿崎,岩瀬,検出装置,△,"Hikvision DS-2CD6825G0/C シリーズ　0.05〜0.1億円未満
Dahua WizMind DH-IPC-HDW8341XN-3D シリーズ　0.05〜0.1億円未満
Xovis PCシリーズ（PC2, PC3等）0.5〜1.0億円
FootfallCam 3D Pro2　0.1〜0.2億円",,D,https://chatgpt.com/share/68b0b1c7-a768-8010-9ab6-bb553809cbab,権利範囲は広い,,1,5959073
IBM,特許05951139,柿崎,岩瀬,,,,,,,権利移転,,1,5951139
IBM,特許05946394,柿崎,岩瀬,複数種類のデータソースを用いた経路の始点・終点の統計的推測手法,〇,"DiDi Mobility Japan　40億円
PTV Visum　2億円",,C,https://chatgpt.com/share/68adfa36-7448-8010-b5f1-3b703038c8db,,,1,5946394
IBM,特許05943357,柿崎,岩瀬,検出装置,×,,,,https://chatgpt.com/share/68b2601a-8190-8010-b827-ae999d11fb00,,,1,5943357
IBM,特許05939581,柿崎,岩瀬,表示画面上に表示された移動対象であるオブジェクトを移動する方法,×,,,,https://chatgpt.com/share/68b30e87-ff78-8010-a105-3d830933c644,,,1,5939581
IBM,特許05930218,柿崎,岩瀬,ユーザの操作を制限する機能を有する情報処理装置,◎,"Samsung（Galaxyスマートフォン）約 4,310億円
HUAWEI、OPPO / OnePlus、SOTI",,B,https://chatgpt.com/share/68a745dc-9cec-800b-8e15-c8c9fb7a8773,,,1,5930218
IBM,特許05916653,柿崎,岩瀬,交通シミュレーション方法,×,,,,https://chatgpt.com/share/68a746a2-083c-800b-8231-b5591ea1fe37,,,1,5916653
IBM,特許05896952,柿崎,岩瀬,メモリを管理する方法,〇,"Oracle Java HotSpot（ガベージコレクションのファイナライゼーション機構）約500億円
Apple Cocoa（Objective-CのNSAutoreleasePool機構）約200000億円",,S,https://chatgpt.com/share/68ae0bea-eb20-8010-921a-1be7dbe4e6a3,,,1,5896952
IBM,特許05889332,柿崎,岩瀬,並行ソフトウェア環境のためのアクティビティ記録システム,〇,Intel VTune Profiler（Threading Analysis）　不明,,E,https://chatgpt.com/share/68b26469-ebec-8010-a814-709d65e71e97,,,1,5889332
IBM,特許05816936,柿崎,岩瀬,,,,,,,権利移転,,1,5816936
IBM,特許05773493,柿崎,岩瀬,情報処理装置,〇,"HPE InfoSight　数十億円規模
Huawei OceanStor　数億～10億円規模
OpenIO SDS　1億円未満規模",,C,https://chatgpt.com/share/68a74fa2-9ae8-800b-adfb-3901d1430548,,,1,5773493
IBM,特許05771348,柿崎,岩瀬,ハイパーリンクのレイアウト・サイズを調整するための方法,×,,,,https://chatgpt.com/share/68ad742c-1860-8010-ab07-c8cc946b0f58,,,1,5771348
IBM,特許05767646,柿崎,岩瀬,クラウド・サービス・カタログを用いたサービスの供給,〇,"Jamcracker（クラウドサービス・ブローカープラットフォーム）１億未満
Flexera Cloud Management Platform（旧RightScale）数億
Morpheus（HPEのマルチクラウド管理プラットフォーム）１億未満
CloudBolt（クラウドボルトのマルチクラウド管理ソリューション）１億未満",,D,https://chatgpt.com/share/68ae0886-fc0c-8010-a392-b78f5e051151,,,1,5767646
IBM,特許05764220,柿崎,岩瀬,症例ごとの代表画像及び読影情報を生成する方法,×,,,,https://chatgpt.com/share/68a8a9bd-3768-800b-a219-3d70f25369d0,,,1,5764220
IBM,特許05744898,柿崎,草野,ローカルトランザクション,〇,,,,,,,1,5744898
IBM,特許05736090,柿崎,草野,,,,,,,権利移転,,1,5736090
IBM,特許05731641,柿崎,草野,PCI機能制御修正,〇,"Intel VT‑d搭載サーバ（Intel） 約2,197,367台 約17,419.72億円
AMD EPYC搭載サーバ（AMD） 約172,046台 約2,410.08億円
Ampere Altra/SMMU搭載サーバ（Ampere） 約48,241台 約513.12億円",,S,https://chatgpt.com/share/68a803a7-590c-8010-872c-113a022314ee,,,1,5731641
IBM,特許05731165,柿崎,草野,,,,,,,権利移転,,1,5731165
IBM,特許05723973,柿崎,草野,仮想世界シーン,〇,,,C,https://chatgpt.com/share/68a31426-0d0c-8010-b89b-b0dff95bf823,,,1,5723973
IBM,特許05717879,柿崎,草野,マルチテナント共用プール,〇,"Datadog（Datadog社）　約60億円（推定）
Grafana Loki（Grafana Labs社）　ほぼ0億円（商用収益は限定的）
Sumo Logic（Sumo Logic社）　約1億円（推定）
Splunk（Splunk社）　約250億円（推定）
New Relic（New Relic社）　約100億円（推定）
Dynatrace（Dynatrace社）　約5億円（推定）
SolarWinds Loggly（SolarWinds社）　ほぼ0億円（推定）
Graylog（Graylog社）　ほぼ0億円（商用収益なし）
Logz.io（Logz社）　0億円（推定）
Stellar Cyber Open XDR（Stellar Cyber社）　約3億円（推定）",,B,https://chatgpt.com/share/68a309b0-15f8-8010-b150-4b9d6d993c51,,,1,5717879
IBM,特許05705321,柿崎,草野,相変化メモリセル,×,,,E,,,,1,5705321
IBM,特許05695579,柿崎,草野,化学,×,,,E,,,,1,5695579
IBM,特許05649200,柿崎,草野,割込コード,〇,,,,,売上小,,1,5649200
IBM,特許05648939,柿崎,草野,,,,,,,権利移転,,1,5648939
IBM,特許05632817,柿崎,草野,強調ウィンドウ,〇,"Genesys Cloud CX（ジェネシス社）：約100億円
Zoom（Zoom社）：約300億円
Lark（ByteDance社）：1億円未満
DingTalk（Alibaba社）：ほぼ0円
如流（Baidu社）：0円",,B,https://chatgpt.com/share/68a1c6de-a6c4-8010-bdb3-d0388a4eb0e7,売却不可,,1,5632817
IBM,特許05623543,柿崎,草野,電話通信,〇,"Apple iPhone（ダイヤルアシスト機能）: Apple, 約12兆円

Samsung Galaxy（ローミングアシスト機能）: Samsung, 約1兆円

Movius MultiLine（契約型副番号サービス）: Movius, 数十億円未満",,S,https://chatgpt.com/share/68a1c833-2950-8010-a281-e1e70fffff26,,,1,5623543
IBM,特許05613237,柿崎,草野,,,,,,,,,1,5613237
IBM,特許05607514,柿崎,草野,ボイス・オーバーＩＰ,〇,"Zoom（Zoom Video Communications, Inc.） 累計売上：約600億円（2014年9月5日以降、日本法人経由）
Wordly（Wordly, Inc.） 累計売上：1億円未満（2014年9月5日以降、日本国内導入は限定的）
Interprefy（Interprefy AG） 累計売上：約3億円（2014年9月5日以降、日本国内イベント通訳案件ベース）
Translate Your World（TYW / TYWI-Live） 累計売上：0億円（2014年9月5日以降、日本国内で実績ほぼなし）",,A,https://chatgpt.com/share/68a1c6fe-c2d4-8010-8db1-e996e6bf5e2f,,,1,5607514
IBM,特許05596119,柿崎,草野,,,,,,,,,1,5596119
